,index,SMILES,atÊýÄ¿,RT,Speed,i-PrOH_proportion,Literature,Column
1,0,O=C(OC)N(C)[C@H](B1OC(C)(C)C(C)(C)O1)CC2=CC=CC=C2,1,1.81,0.5,0.05,10.1039/C9SC04534A,OJ3
3,2,C[C@H](C[S](=O)(=O)c1ccc(C)cc1)c2ccc(cc2)C(F)(F)F,1,2.13,0.5,0.3,10.1039/C8QO01291A,IA
6,3,Fc1cccc(c1)[C@H]2NCc3ccccc3c4ccccc24,1,2.3,0.5,0.2,10.1039/C8SC04482A,OD3
8,4,Fc1ccc2c(CN[C@H](c3ccccc3)c4ccccc24)c1,1,2.5,0.5,0.2,10.1039/C8SC04482A,OD3
10,5,Clc1ccc2[C@H](NCc3ccccc3c2c1)c4ccccc4,1,2.6,0.5,0.2,10.1039/C8SC04482A,OD3
11,6,COc1cc(C[C@H](B2OC(C)(C)C(C)(C)O2)N3CCOC3=O)cc(OC)c1OC,1,3.09,0.5,0.2,10.1039/C9SC04534A,IAU
14,7,C[C@H]1OCCc2ccc(cc12)C#Cc3ccccc3,1,2.7,0.5,0.01,10.1002/anie.201916677,IF3
15,8,C[C@H](C[S](=O)(=O)c1ccc(C)cc1)c2ccc(Cl)cc2,1,2.48,0.5,0.3,10.1039/C8QO01291A,IA
18,9,Cc1ccccc1[C@H]2NCc3ccccc3c4ccccc24,1,2.9,0.5,0.2,10.1039/C8SC04482A,OD3
20,10,C1N[C@H](c2ccccc2)c3ccccc3c4ccccc14,1,2.9,0.5,0.2,10.1039/C8SC04482A,OD3
21,11,CC(C)C[C@H](B1OC(C)(C)C(C)(C)O1)N2CCOC2=O,1,3.36,0.5,0.05,10.1039/C9SC04534A,IAU
23,12,CCCC[C@H](B1OC(C)(C)C(C)(C)O1)N2CCOC2=O,1,3.46,0.5,0.05,10.1039/C9SC04534A,IAU
26,13,CCCCCCCCCC[C@H]1NC(=O)c2ccccc2O1,1,3.21,0.5,0.05,10.1002/chem.202002930,OD3
28,14,C[C@H]1NC(=O)c2cc(F)ccc2O1,1,3.32,0.5,0.1,10.1002/chem.202002930,OD3
